month,region,bu,product_line,segment,metric,actual,plan,prior,currency
2023-01,NA,Core,Alpha,SMB,revenue,1041954.09,1289137.62,,USD
2023-01,NA,Core,Alpha,SMB,gross_margin,710008.19,902396.34,,USD
2023-01,NA,Core,Alpha,MidMarket,revenue,1077386.41,1074281.35,,USD
2023-01,NA,Core,Alpha,MidMarket,gross_margin,738811.9,751996.95,,USD
2023-01,NA,Core,Alpha,Enterprise,revenue,571323.1,641158.39,,USD
2023-01,NA,Core,Alpha,Enterprise,gross_margin,412596.8,448810.88,,USD
2023-01,NA,Core,Beta,SMB,revenue,2102425.68,1924426.98,,USD
2023-01,NA,Core,Beta,SMB,gross_margin,1383359.25,1289366.08,,USD
2023-01,NA,Core,Beta,MidMarket,revenue,1702929.21,1603689.15,,USD
2023-01,NA,Core,Beta,MidMarket,gross_margin,1187325.99,1074471.73,,USD
2023-01,NA,Core,Beta,Enterprise,revenue,1030629.58,957122.41,,USD
2023-01,NA,Core,Beta,Enterprise,gross_margin,673665.64,641272.02,,USD
2023-01,NA,Core,Gamma,SMB,revenue,896034.0,1008297.99,,USD
2023-01,NA,Core,Gamma,SMB,gross_margin,557954.31,635227.74,,USD
2023-01,NA,Core,Gamma,MidMarket,revenue,887424.82,840248.33,,USD
2023-01,NA,Core,Gamma,MidMarket,gross_margin,569402.31,529356.45,,USD
2023-01,NA,Core,Gamma,Enterprise,revenue,495432.42,501481.54,,USD
2023-01,NA,Core,Gamma,Enterprise,gross_margin,308806.31,315933.37,,USD
2023-01,NA,Core,ServicesPlus,SMB,revenue,861115.56,908492.77,,USD
2023-01,NA,Core,ServicesPlus,SMB,gross_margin,537887.7,554180.59,,USD
2023-01,NA,Core,ServicesPlus,MidMarket,revenue,706800.19,757077.31,,USD
2023-01,NA,Core,ServicesPlus,MidMarket,gross_margin,425892.91,461817.16,,USD
2023-01,NA,Core,ServicesPlus,Enterprise,revenue,477584.34,451842.97,,USD
2023-01,NA,Core,ServicesPlus,Enterprise,gross_margin,280798.26,275624.21,,USD
2023-01,NA,Growth,Alpha,SMB,revenue,1174254.46,1165831.51,,USD
2023-01,NA,Growth,Alpha,SMB,gross_margin,630019.65,664523.96,,USD
2023-01,NA,Growth,Alpha,MidMarket,revenue,1008773.81,974764.68,,USD
2023-01,NA,Growth,Alpha,MidMarket,gross_margin,583159.41,555615.87,,USD
2023-01,NA,Growth,Alpha,Enterprise,revenue,554445.32,582915.75,,USD
2023-01,NA,Growth,Alpha,Enterprise,gross_margin,327908.96,332261.98,,USD
